Country Name,Country Code,Series Name,Series Code,1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Ghana,GHA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,10590267028.772,10640220888.6528,10267486827.6424,9556601933.82383,9120463707.08054,9909162141.06972,10413698752.2513,10955123682.9965,11480410785.5588,12126547679.5239,12743288457.4457,13167489322.5275,13862973249.372,14400776078.7154,15099213798.2838,15597487814.2903,16238921862.2626,16986311933.069,17699118297.6872,18531046023.0503,19346411459.7878,20062228699.5951,20864717873.2744,21803630085.5591,22937418879.029,24221914334.1385,25651008204.7789,27292650312.4889,28479012450.3694,31084784829.1968,32590683205.3119,35165253297.9777,40104959886.0754,43831829349.7696,47037042836.2845,48380533745.4072,49406568432.6711,51073282096.8342,55224975510.7673
Guinea,GIN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,2961299807.36361,3059020890.03781,3251987497.57108,3382180036.97603,3528427624.2186,3620640363.4518,3739069601.68471,3927673676.91191,4083606214.44381,4271765443.66504,4462353466.39995,4693574927.95092,4864614488.93158,5050053789.51691,5176459694.25989,5365832524.79229,5642956819.27581,5713414849.23364,5847115459.25931,6022369446.56088,6094012382.58651,6509470045.27084,6778507045.8343,6702408713.68756,7025019965.89314,7419271685.68379,7858143038.9512,8168200516.19869,8470141466.12108,8794202443.67366,9745789798.55744,10749606195.9331
Guinea-Bissau,GNB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,477450011.474611,401284075.064376,474187472.373751,494103735.686359,477312670.549148,520792146.051979,542490913.825283,538184362.583593,553791709.138595,579266127.694456,614601361.608203,652092044.582728,685348739.005025,692887574.936628,707438214.008098,730076237.001025,762199591.487719,850614744.071947,905904702.436624,651345664.684636,658025458.135226,693736416.618997,708921660.318477,701937523.451224,705928109.701827,725421622.574493,756368826.663681,773836090.653954,799086017.595086,824685276.009035,852468716.437881,891775800.885315,963873910.107892,947365805.394198,978211129.058856,987646569.671489,1048229629.42039,1113878213.74887,1179810632.61765
Liberia,LBR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2210291841.40324,2274838396.57866,2360440981.31983,1648882917.81076,1692081138.77775,1781443532.13696,1924741179.715,2108270637.95781,2258921100.98605,2378656103.44015,2523750024.99577,2730716854.94426,2949005327.42991,3205193907.94462,3227674916.86578,3227075700,3176896008.31,3254893758.73415
Mali,MLI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3417008137.07717,3269193836.75659,3318519573.83801,3073664828.96204,3129632385.68148,3120649991.58663,3753724863.15721,3854798442.63583,3849433939.78775,4133896369.7236,4306585265.12911,4198817486.32743,4691977157.00844,4540958248.20201,4685005080.6961,4862095183.03291,4906876168.66573,5253094821.17282,5506768048.65629,5923722223.0009,6261430289.165,6257621149.81349,7219807962.1781,7444077452.68989,8122906001.76515,8249623226.5892,8788717854.20238,9198464304.70882,9519823400.15338,9974218382.5386,10453611461.6156,11009109608.9997,11362847028.7725,11267770152.5549,11526373172.2741,12342980274.424,13104764333.9941,13871694352.1975,14607651004.213
Niger,NER,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3974526127.36147,3876950075.132,3870062050.27184,3954215010.02311,3801438855.38454,3162043107.96075,3406093624.92513,3622453368.73448,3625651319.87873,3874775265.41677,3911858646.00449,3860672825.12486,3843705588.83168,3920608619.15119,3933219471.44245,4006171992.04593,4104613417.80347,4108739806.37672,4171499808.97572,4587507422.87279,4577434976.01122,4522117693.12977,4850791307.5599,5089376050.80757,5199846575.71325,5218763699.72157,5601396609.31827,5933618241.46424,6120095490.97474,6593265424.6112,6722664911.52521,7299346317.20715,7471447161.28277,8259605981.34335,8698614829.25054,9276388713.21868,9683867893.68343,10239808402.3033,10751938078.1876
Nigeria,NGA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,152189549601.911,158588863033.604,137769506631.921,128396511427.667,114370367333.489,113094424961.011,119781729369.672,119854730668.533,123690232428.232,132761705601.212,135309908947.629,151245202579.557,151787193702.158,158816751511.271,155584641982.288,152760898222.443,152649894872.176,159054968516.195,163726571073.571,167952769906.823,168933827206.049,177407437761.555,187905850476.826,216710230937.582,232632354125.246,254152145501.925,270515773388.94,286907481990.637,305817928143.344,326504898642.379,352745852800.291,380985472030.909,401207892113.29,418179231389.034,446077370458.38,474223597521.154,486803295097.89,478932323772.273,482791975286.219
Senegal,SEN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5689861473.77087,5916759605.78595,6223261342.33759,6721768496.38766,6342159290.41257,6591776687.56788,6820055481.96641,7033317631.21944,7473312375.26126,7412287138.20285,7706835367.71694,7649320625.4192,7852789697.57237,7956464821.4555,8064689690.81561,8060857273.76791,8501672094.08199,8673403932.72737,8937561212.6596,9464741412.29439,10059440290.3236,10450471955.6194,10900976279.1413,10908464876.4585,11518679050.4523,12053525176.4053,12573060862.3476,12866110116.6401,13229850386.2124,13719774112.9167,14097356631.5485,14575382382.5758,14769831258.7611,15361066946.9254,15731635064.1982,16710783740.8942,17774766636.0459,18904542991.9138,20304894402.6232
Sierra Leone,SLE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2088619488.91444,2189781852.31465,2252878852.1188,2360606011.31906,2310967149.93193,2405555827.2773,2277788566.40966,2305943101.61684,2472692044.08653,2297625447.37702,2314398113.11291,2391930403.24108,2448187664.97379,1982715956.56931,2009969366.43191,1970827537.8604,1813166197.14561,1844965893.91369,1736535735.18217,1767533146.055,1732548617.22646,1847810362.20075,1730558384.34885,2187725471.6925,2391470991.34043,2549258928.69872,2664105482.35345,2776635014.2343,3000380294.03056,3162349379.67518,3263166697.5142,3437630797.22922,3654718730.25859,4209569688.52042,5081614391.02665,5313171991.3514,4218723875.1379,4474187603.74251,4661772843.95975
Togo,TGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1576027195.9124,1805763988.47931,1745899552.13475,1683354402.13177,1592217463.72404,1680673981.30718,1774044701.12157,1802189996.79545,1811384088.57334,1931702917.72391,2010130475.04994,2005232668.81257,1991196691.97192,1911933387.81886,1623311221.94894,1866522435.41526,2012966655.89639,2190836649.68321,2505821506.76289,2448190705.0968,2508948713.07287,2489291611.57116,2509789403.27099,2605829571.27753,2780945785.45893,2753729633.06058,2625232364.19958,2694804489.77052,2663137292.71492,2771320662.6809,2924793933.75664,3103184695.75064,3301732629.56903,3517781736.27245,3732800624.6811,3953804391.92744,4180866177.03946,4413283843.4717,4605162314.02413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
